icache/dcache,program,size,simSeconds
i32k-d32k,mxm,32x32,0.001736
i32k-d32k,mxm,64x64,0.019175
i32k-d32k,mxm,128x128,0.222061
i32k-d32k,mxm,256x256,1.805720
i32k-d32k,ll,1k,0.000338
i32k-d32k,ll,10k,0.003584
i32k-d32k,ll,100k,0.035528
i32k-d32k,ll,300k,0.106525
i32k-d32k,bfs,64,0.001891
i32k-d32k,bfs,128,0.006728
i32k-d32k,bfs,256,0.028376
i32k-d32k,bfs,512,0.106458
